CID,CanonicalSMILES
CID100000085,C[N+](C)(C)CC(CC(=O)O)O
CID100000206,C(C1C(C(C(C(O1)O)O)O)O)O
DB01156,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
CID100000853,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N
CID100000937,C1=CC(=CN=C1)C(=O)[O-]
CID100000942,CN1CCCC1C2=CN=CC=C2
DB00316,CC(=O)NC1=CC=C(C=C1)O
DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
DB00945,CC(=O)OC1=CC=CC=C1C(=O)O
CID100002250,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
CID100002462,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C
CID100002524,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
DB01136,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
DB00215,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
DB00575,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
CID100002806,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3
DB00829,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
CID100003043,C1CC(OC1CO)N2C=NC3=C2NC=NC3=O
CID100003062,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
CID100003075,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CC[NH+](C)C)C3=CC=C(C=C3)OC
DB00313,CCCC(CCC)C(=O)O
DB00950,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O
DB00196,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
CID100003405,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N
DB00695,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
DB00996,C1CCC(CC1)(CC(=O)O)CN
DB01067,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
DB00458,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
DB00555,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
DB00448,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
CID100003937,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O
DB00455,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
DB00186,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
DB01233,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl
DB00264,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
DB00370,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
DB00727,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
DB00540,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
DB01165,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
DB00338,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
DB01062,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
DB00213,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
DB00806,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C
DB01132,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3
CID100004894,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O
CID100005038,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O
CID100005039,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C
DB00734,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
CID100005076,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O
CID100005267,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C
CID100005408,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C
CID100005514,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C
DB00425,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C
DB01020,C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O
DB00641,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
DB11868,CCC(C(=O)N)N1CCCC1=O
DB00973,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O
DB00658,C=CCN.C1C(O1)CCl
CID100001972,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
DB00787,C1=NC2=C(N1COCCO)NC(=NC2=O)N
DB01001,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
DB00993,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
CID100002274,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N
CID100002622,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-]
CID100002650,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]
CID100002656,CN1C(=NC(=O)C(=N1)[O-])SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-]
DB00537,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
DB00531,C1CNP(=O)(OC1)N(CCCl)CCCl
CID100002909,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
DB00927,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N
CID100003367,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N
DB01004,C1=NC2=C(N1COC(CO)CO)NC(=NC2=O)N
DB00798,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
CID100003640,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O
CID100003929,CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F
CID100004159,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O
DB00916,CC1=NC=C(N1CCO)[N+](=O)[O-]
CID100004253,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O
DB00904,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C
CID100004900,CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C
DB00818,CC(C)C1=C(C(=CC=C1)C(C)C)O
CID100005372,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC
CID100005645,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
CID100005651,CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O
CID100000143,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
CID100000450,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
CID100000453,C(C(C(C(C(CO)O)O)O)O)O
CID100000581,CC(=O)NC(CS)C(=O)O
CID100000596,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
DB09110,C(CS(=O)(=O)O)S
CID100001690,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)[NH3+])O
DB00252,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
CID100001971,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO
DB01193,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
DB00819,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
CID100002019,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
DB00630,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
DB00404,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
CID100002142,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N
DB00277,CN1C2=C(C(=O)N(C1=O)C)NC=N2
CID100002156,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCC[NH+](CC)CC)I
DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
CID100002171,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C
CID100002173,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)[O-])C
DB01217,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
DB00335,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
CID100002269,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
DB00181,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
CID100002311,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O
DB00195,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
DB00612,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
DB00887,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
DB00490,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
DB01008,CS(=O)(=O)OCCCCOS(=O)(=O)C
DB00661,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
CID100002550,CC(CS)C(=O)N1CCCC1C(=O)O
DB00564,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
DB00395,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
DB00262,C(CCl)NC(=O)N(CCCl)N=O
CID100002617,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-]
CID100002658,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)[O-]
DB00482,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
CID100002666,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O
DB00341,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
CID100002713,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl
DB00501,CC1=C(N=CN1)CSCCNC(=NC)NC#N
CID100002786,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl
DB01068,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
DB00257,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
CID100002891,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+2]
DB00924,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31
DB00250,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
CID100002978,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O
CID100003003,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
CID100003032,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl
DB00975,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
CID100003143,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
CID100003148,C1C2CC3CC(CC1N3CC2=O)OC(=O)C4=CNC5=CC=CC=C54
DB00843,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
CID100003154,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C
DB00590,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
CID100003203,C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F
CID100003222,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O
CID100003249,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
DB01077,CC(O)(P(=O)(O)O)P(=O)(O)O
CID100003310,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
DB01023,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
DB01039,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
DB00813,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
CID100003350,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C
CID100003355,C1CCNC(C1)C[NH2+]C(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
DB00544,C1=C(C(=O)NC(=O)N1)F
DB00472,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
CID100003403,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F
CID100003461,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
DB01241,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
DB00222,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C
DB01016,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
CID100003510,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C
DB00874,COC1=CC=CC=C1OCC(CO)O
DB00502,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
DB00999,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
CID100003648,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4
DB01611,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO
CID100003661,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
DB01050,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
DB00281,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
DB01181,C1CN(P(=O)(OC1)NCCCl)CCCl
DB00808,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
DB00328,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
CID100003746,CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C
DB01029,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
CID100003750,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7
CID100003780,C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-]
CID100003793,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl
DB01009,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
CID100003877,C1C(OC(S1)CO)N2C=CC(=NC2=O)N
CID100003890,CC(C)OC(=O)CCCC=CCC1C(CC(C1CCC(CCC2=CC=CC=C2)O)O)O
DB01097,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
CID100003954,CN(C)C(=O)C(CC[NH+]1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4
DB00678,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl
CID100003962,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
